TIME_1,RE_1,LE_1,RE_1_processed,LE_1_processed
2003-08-08 11:43:52.1228,-2.5,-0.1,-0.6793665393112917,-0.4273955513091819
2003-08-08 11:43:52.1234,-2.6,-0.1,-0.6588959240258223,-0.390576603294629
2003-08-08 11:43:52.1240,-2.5,-0.1,-0.639511823003492,-0.35403267575074787
2003-08-08 11:43:52.1245,-2.4,-0.1,-0.6210521739330868,-0.3176332753049481
2003-08-08 11:43:52.1251,-2.3,0.0,-0.6033305021410931,-0.2812528054578131
2003-08-08 11:43:52.1257,-2.4,-0.1,-0.5861457943654562,-0.24477849922133052
2003-08-08 11:43:52.1263,-2.4,-0.1,-0.5692922366965993,-0.20811794222019506
2003-08-08 11:43:52.1269,-2.4,0.0,-0.5525684095482248,-0.1712056179339949
2003-08-08 11:43:52.1275,-2.3,0.0,-0.5357855579565775,-0.13400795150606798
2003-08-08 11:43:52.1281,-2.3,0.1,-0.5187745980230448,-0.09652642905308464
2003-08-08 11:43:52.1287,-2.3,0.2,-0.5013915869397215,-0.05879851466709426
2003-08-08 11:43:52.1293,-2.3,0.2,-0.48352146384170136,-0.020896252638480873
2003-08-08 11:43:52.1299,-2.3,0.2,-0.4650799518207836,0.017077395781071477
2003-08-08 11:43:52.1305,-2.2,0.3,-0.4460136007187251,0.0549942839316042
2003-08-08 11:43:52.1310,-2.1,0.5,-0.4262980534773534,0.09270854332940293
2003-08-08 11:43:52.1316,-2.1,0.6,-0.40593473382652623,0.130065305329976
2003-08-08 11:43:52.1322,-2.0,0.7,-0.3849462647289168,0.16691008448513373
2003-08-08 11:43:52.1328,-1.8,0.7,-0.36337101711310893,0.20309815579873136
2003-08-08 11:43:52.1334,-1.8,0.8,-0.34125724499843296,0.23850326602924174
2003-08-08 11:43:52.1340,-1.7,0.8,-0.3186572768281071,0.2730251029780911
2003-08-08 11:43:52.1346,-1.7,0.8,-0.2956221936161941,0.3065950786125802
2003-08-08 11:43:52.1352,-1.7,1.0,-0.2721973306723474,0.33918013282041387
2003-08-08 11:43:52.1358,-1.7,0.9,-0.24841880581583856,0.37078441735148754
2003-08-08 11:43:52.1364,-1.8,0.9,-0.22431112835052447,0.4014488701981593
2003-08-08 11:43:52.1369,-1.8,0.9,-0.19988580632891875,0.431248840608406
2003-08-08 11:43:52.1375,-1.8,0.8,-0.17514076949191437,0.46029006430421754
2003-08-08 11:43:52.1381,-1.8,0.9,-0.15006038140775313,0.4887033907204431
2003-08-08 11:43:52.1387,-1.7,0.9,-0.12461583493508911,0.5166387020830551
2003-08-08 11:43:52.1393,-1.6,1.1,-0.09876580272589888,0.5442584300542563
2003-08-08 11:43:52.1399,-1.4,1.1,-0.07245732785789685,0.5717309879486467
2003-08-08 11:43:52.1405,-1.3,1.2,-0.04562705774564312,0.599224333802087
2003-08-08 11:43:52.1411,-1.2,1.3,-0.018203010847042518,0.6268998028109386
2003-08-08 11:43:52.1417,-1.2,1.2,0.009892910985440937,0.6549063207784724
2003-08-08 11:43:52.1423,-1.2,1.2,0.038741503560757146,0.6833751334631718
2003-08-08 11:43:52.1428,-1.2,1.1,0.06842188718647914,0.7124152392470907
2003-08-08 11:43:52.1434,-1.1,1.2,0.09900627418095985,0.7421097559140472
2003-08-08 11:43:52.1440,-1.2,1.3,0.13055411054148325,0.7725134443548454
2003-08-08 11:43:52.1446,-1.2,1.3,0.16310593957820732,0.803651533210751
2003-08-08 11:43:52.1452,-1.2,1.4,0.19667741599422717,0.8355198563149919
2003-08-08 11:43:52.1458,-1.2,1.5,0.2312539360509334,0.8680861670218487
2003-08-08 11:43:52.1464,-1.1,1.6,0.26678633092753196,0.9012923606695932
2003-08-08 11:43:52.1470,-1.0,1.7,0.30318799234512345,0.9350572352849207
2003-08-08 11:43:52.1476,-0.9,1.9,0.34033367416154914,0.9692793654154803
2003-08-08 11:43:52.1482,-0.7,1.9,0.3780600661317697,1.0038396719384275
2003-08-08 11:43:52.1487,-0.6,1.9,0.41616809659232296,1.0386033570980133
2003-08-08 11:43:52.1493,-0.7,1.9,0.4544268167813003,1.0734210414881253
2003-08-08 11:43:52.1499,-0.6,1.8,0.49257866578434256,1.1081291660231776
