TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed
2007-12-20 14:37:55.0372,1.3,0.5,2007-12-20 14:38:30.0372,0.0,1.3,2007-12-20 11:22:09.0372,0.8,1.3,2007-12-20 11:26:01.0372,-1.1,-1.4,0.16425529632748187,0.7046473262745726,0.2832408267951401,0.5371354006998466,-0.0012972901117866951,1.158824249072803,-1.5466400926933284,0.25246418037954604
2007-12-20 14:37:55.0378,1.5,0.7,2007-12-20 14:38:30.0378,0.4,1.5,2007-12-20 11:22:09.0378,1.0,1.4,2007-12-20 11:26:01.0378,-1.2,-1.3,0.2543926312843893,0.7906163828445396,0.3854528733739621,0.6216959268846312,-0.09796518197961827,1.1369727819824602,-1.5575867731550561,0.18448403933167956
2007-12-20 14:37:55.0384,1.7,0.9,2007-12-20 14:38:30.0384,0.8,1.9,2007-12-20 11:22:09.0384,1.0,1.4,2007-12-20 11:26:01.0384,-1.1,-1.3,0.34941809610352464,0.8742063604119844,0.49492419734573423,0.7093764877565446,-0.17407662250062467,1.1168625425697947,-1.5591303016897036,0.12034653007474348
2007-12-20 14:37:55.0390,1.9,1.1,2007-12-20 14:38:30.0390,1.1,2.1,2007-12-20 11:22:09.0390,1.0,1.2,2007-12-20 11:26:01.0390,-1.2,-1.4,0.4494849108967575,0.9550151596444763,0.6108725687836758,0.7998852281905227,-0.22781319420227475,1.0988765184101834,-1.5511786816098445,0.06074949484929484
2007-12-20 14:37:55.0395,2.1,1.2,2007-12-20 14:38:30.0395,1.3,2.3,2007-12-20 11:22:09.0395,1.1,1.1,2007-12-20 11:26:01.0395,-1.0,-1.3,0.554642379178308,1.0327648198222292,0.7323553906026017,0.8928848207492186,-0.25811827674829735,1.0832972150508942,-1.5339611635992563,0.006223320589085414
2007-12-20 14:37:55.0401,2.3,1.2,2007-12-20 14:38:30.0401,1.7,2.6,2007-12-20 11:22:09.0401,1.0,1.0,2007-12-20 11:26:01.0401,-0.7,-1.3,0.6648111777073731,1.1072934897145608,0.8582830993163695,0.9879856224659752,-0.2647127828939948,1.070300504573213,-1.5080201784835348,-0.04288097873306234
2007-12-20 14:37:55.0407,2.7,1.3,2007-12-20 14:38:30.0407,2.1,2.8,2007-12-20 11:22:09.0407,1.1,1.0,2007-12-20 11:26:01.0407,-0.6,-1.2,0.7797618687845856,1.178543044594193,0.9874365093401479,1.0847400908354219,-0.24808750582650974,1.059952331447413,-1.4741906350764407,-0.08639596210633976
2007-12-20 14:37:55.0413,2.8,1.5,2007-12-20 14:38:30.0413,2.5,3.0,2007-12-20 11:22:09.0413,1.2,1.0,2007-12-20 11:26:01.0413,-0.3,-1.2,0.8990977228290222,1.2465431736531807,1.1184877981932855,1.1826388974469924,-0.2094733933089615,1.0522084636856943,-1.4335677673570375,-0.1243347394022845
2007-12-20 14:37:55.0419,3.1,1.7,2007-12-20 14:38:30.0419,3.0,3.1,2007-12-20 11:22:09.0419,1.3,0.9,2007-12-20 11:26:01.0419,-0.2,-1.3,1.0222428521836764,1.3113928778037227,1.25002472498458,1.2811091625706956,-0.15079139788437773,1.0469174813748483,-1.3874652236597298,-0.15688143604400825
2007-12-20 14:37:55.0425,3.4,1.8,2007-12-20 14:38:30.0425,3.4,3.5,2007-12-20 11:22:09.0425,1.3,0.7,2007-12-20 11:26:01.0425,-0.2,-1.6,1.1484365291539298,1.373240366014546,1.3805775614372133,1.3795151830964971,-0.07458381651567726,1.0438271597020634,-1.3373654167018736,-0.18437594709503194
